course_id,course_name,member_id,course_level,average_slope
4,유림공원 → 갑천근린공원,14,3,15
3,한밭대 뺑뺑이 x5,4,1,8
28,Desert Trek,5,5,25
5,현충원역 → 유림공원,2,2,7
1,SSAFY 퇴근길 코스,14,2,10
30,Mountain Hiking Trail,8,3,15
23,Mountain Hiking Trail,5,5,20
28,Desert Trek,13,5,25
5,현충원역 → 유림공원,6,2,7
5,현충원역 → 유림공원,6,2,7
2,궁동 → 어은동 러닝코스,10,1,5
1,SSAFY 퇴근길 코스,13,2,10
3,한밭대 뺑뺑이 x5,5,1,8
5,현충원역 → 유림공원,4,2,7
31,Mountain Hiking Trail,5,3,15
30,Mountain Hiking Trail,8,3,15
27,Forest Adventure,14,4,18
28,Desert Trek,7,5,25
31,Mountain Hiking Trail,2,3,15
30,Mountain Hiking Trail,7,3,15
23,Mountain Hiking Trail,1,5,20
27,Forest Adventure,8,4,18
4,유림공원 → 갑천근린공원,2,3,15
30,Mountain Hiking Trail,7,3,15
2,궁동 → 어은동 러닝코스,5,1,5
29,Mountain Hiking Trail,6,3,15
31,Mountain Hiking Trail,7,3,15
23,Mountain Hiking Trail,10,5,20
5,현충원역 → 유림공원,5,2,7
2,궁동 → 어은동 러닝코스,9,1,5
30,Mountain Hiking Trail,10,3,15
2,궁동 → 어은동 러닝코스,1,1,5
30,Mountain Hiking Trail,2,3,15
6,봉명교 → 죽동,1,2,12
4,유림공원 → 갑천근린공원,7,3,15
23,Mountain Hiking Trail,5,5,20
29,Mountain Hiking Trail,8,3,15
24,Beach Walk,13,1,3
24,Beach Walk,2,1,3
1,SSAFY 퇴근길 코스,1,2,10
24,Beach Walk,6,1,3
30,Mountain Hiking Trail,8,3,15
29,Mountain Hiking Trail,11,3,15
31,Mountain Hiking Trail,14,3,15
5,현충원역 → 유림공원,14,2,7
3,한밭대 뺑뺑이 x5,14,1,8
3,한밭대 뺑뺑이 x5,11,1,8
2,궁동 → 어은동 러닝코스,4,1,5
31,Mountain Hiking Trail,10,3,15
5,현충원역 → 유림공원,11,2,7
5,현충원역 → 유림공원,5,2,7
3,한밭대 뺑뺑이 x5,2,1,8
24,Beach Walk,6,1,3
31,Mountain Hiking Trail,8,3,15
4,유림공원 → 갑천근린공원,4,3,15
23,Mountain Hiking Trail,11,5,20
30,Mountain Hiking Trail,13,3,15
5,현충원역 → 유림공원,2,2,7
5,현충원역 → 유림공원,10,2,7
23,Mountain Hiking Trail,10,5,20
31,Mountain Hiking Trail,14,3,15
27,Forest Adventure,5,4,18
1,SSAFY 퇴근길 코스,10,2,10
3,한밭대 뺑뺑이 x5,10,1,8
28,Desert Trek,1,5,25
1,SSAFY 퇴근길 코스,2,2,10
2,궁동 → 어은동 러닝코스,1,1,5
3,한밭대 뺑뺑이 x5,6,1,8
27,Forest Adventure,8,4,18
23,Mountain Hiking Trail,10,5,20
6,봉명교 → 죽동,11,2,12
3,한밭대 뺑뺑이 x5,2,1,8
30,Mountain Hiking Trail,13,3,15
6,봉명교 → 죽동,1,2,12
3,한밭대 뺑뺑이 x5,13,1,8
6,봉명교 → 죽동,7,2,12
6,봉명교 → 죽동,6,2,12
1,SSAFY 퇴근길 코스,11,2,10
27,Forest Adventure,11,4,18
27,Forest Adventure,5,4,18
30,Mountain Hiking Trail,13,3,15
27,Forest Adventure,11,4,18
5,현충원역 → 유림공원,14,2,7
29,Mountain Hiking Trail,4,3,15
27,Forest Adventure,14,4,18
3,한밭대 뺑뺑이 x5,11,1,8
29,Mountain Hiking Trail,11,3,15
5,현충원역 → 유림공원,5,2,7
23,Mountain Hiking Trail,1,5,20
27,Forest Adventure,11,4,18
24,Beach Walk,5,1,3
2,궁동 → 어은동 러닝코스,6,1,5
4,유림공원 → 갑천근린공원,1,3,15
6,봉명교 → 죽동,4,2,12
24,Beach Walk,11,1,3
29,Mountain Hiking Trail,6,3,15
4,유림공원 → 갑천근린공원,8,3,15
6,봉명교 → 죽동,6,2,12
5,현충원역 → 유림공원,7,2,7
5,현충원역 → 유림공원,6,2,7
3,한밭대 뺑뺑이 x5,1,1,8
23,Mountain Hiking Trail,10,5,20
27,Forest Adventure,14,4,18
1,SSAFY 퇴근길 코스,4,2,10
5,현충원역 → 유림공원,10,2,7
27,Forest Adventure,10,4,18
27,Forest Adventure,1,4,18
27,Forest Adventure,8,4,18
4,유림공원 → 갑천근린공원,4,3,15
2,궁동 → 어은동 러닝코스,11,1,5
3,한밭대 뺑뺑이 x5,11,1,8
1,SSAFY 퇴근길 코스,2,2,10
3,한밭대 뺑뺑이 x5,7,1,8
6,봉명교 → 죽동,4,2,12
3,한밭대 뺑뺑이 x5,13,1,8
6,봉명교 → 죽동,10,2,12
4,유림공원 → 갑천근린공원,2,3,15
4,유림공원 → 갑천근린공원,11,3,15
3,한밭대 뺑뺑이 x5,7,1,8
23,Mountain Hiking Trail,14,5,20
4,유림공원 → 갑천근린공원,14,3,15
29,Mountain Hiking Trail,8,3,15
27,Forest Adventure,9,4,18
5,현충원역 → 유림공원,6,2,7
6,봉명교 → 죽동,13,2,12
24,Beach Walk,5,1,3
31,Mountain Hiking Trail,7,3,15
1,SSAFY 퇴근길 코스,10,2,10
29,Mountain Hiking Trail,1,3,15
1,SSAFY 퇴근길 코스,6,2,10
29,Mountain Hiking Trail,1,3,15
31,Mountain Hiking Trail,14,3,15
6,봉명교 → 죽동,13,2,12
5,현충원역 → 유림공원,14,2,7
24,Beach Walk,2,1,3
3,한밭대 뺑뺑이 x5,2,1,8
4,유림공원 → 갑천근린공원,1,3,15
2,궁동 → 어은동 러닝코스,11,1,5
29,Mountain Hiking Trail,11,3,15
3,한밭대 뺑뺑이 x5,4,1,8
3,한밭대 뺑뺑이 x5,13,1,8
2,궁동 → 어은동 러닝코스,5,1,5
30,Mountain Hiking Trail,5,3,15
29,Mountain Hiking Trail,11,3,15
4,유림공원 → 갑천근린공원,4,3,15
29,Mountain Hiking Trail,11,3,15
5,현충원역 → 유림공원,1,2,7
27,Forest Adventure,2,4,18
23,Mountain Hiking Trail,4,5,20
2,궁동 → 어은동 러닝코스,7,1,5
24,Beach Walk,4,1,3
29,Mountain Hiking Trail,11,3,15
31,Mountain Hiking Trail,2,3,15
1,SSAFY 퇴근길 코스,11,2,10
28,Desert Trek,8,5,25
23,Mountain Hiking Trail,7,5,20
28,Desert Trek,5,5,25
2,궁동 → 어은동 러닝코스,11,1,5
23,Mountain Hiking Trail,2,5,20
23,Mountain Hiking Trail,5,5,20
24,Beach Walk,2,1,3
5,현충원역 → 유림공원,2,2,7
24,Beach Walk,10,1,3
29,Mountain Hiking Trail,2,3,15
24,Beach Walk,10,1,3
30,Mountain Hiking Trail,9,3,15
1,SSAFY 퇴근길 코스,10,2,10
24,Beach Walk,13,1,3
6,봉명교 → 죽동,6,2,12
31,Mountain Hiking Trail,8,3,15
29,Mountain Hiking Trail,9,3,15
2,궁동 → 어은동 러닝코스,4,1,5
24,Beach Walk,4,1,3
2,궁동 → 어은동 러닝코스,7,1,5
28,Desert Trek,10,5,25
24,Beach Walk,5,1,3
3,한밭대 뺑뺑이 x5,2,1,8
1,SSAFY 퇴근길 코스,14,2,10
28,Desert Trek,4,5,25
1,SSAFY 퇴근길 코스,10,2,10
27,Forest Adventure,8,4,18
2,궁동 → 어은동 러닝코스,6,1,5
28,Desert Trek,13,5,25
4,유림공원 → 갑천근린공원,1,3,15
28,Desert Trek,9,5,25
2,궁동 → 어은동 러닝코스,14,1,5
31,Mountain Hiking Trail,8,3,15
24,Beach Walk,8,1,3
6,봉명교 → 죽동,13,2,12
6,봉명교 → 죽동,5,2,12
23,Mountain Hiking Trail,7,5,20
28,Desert Trek,14,5,25
27,Forest Adventure,13,4,18
30,Mountain Hiking Trail,10,3,15
27,Forest Adventure,11,4,18
27,Forest Adventure,10,4,18
2,궁동 → 어은동 러닝코스,1,1,5
6,봉명교 → 죽동,5,2,12
30,Mountain Hiking Trail,13,3,15
31,Mountain Hiking Trail,5,3,15
28,Desert Trek,13,5,25
1,SSAFY 퇴근길 코스,7,2,10
30,Mountain Hiking Trail,8,3,15
30,Mountain Hiking Trail,13,3,15
1,SSAFY 퇴근길 코스,2,2,10
3,한밭대 뺑뺑이 x5,13,1,8
24,Beach Walk,5,1,3
30,Mountain Hiking Trail,10,3,15
3,한밭대 뺑뺑이 x5,6,1,8
5,현충원역 → 유림공원,2,2,7
28,Desert Trek,14,5,25
28,Desert Trek,5,5,25
6,봉명교 → 죽동,7,2,12
23,Mountain Hiking Trail,7,5,20
5,현충원역 → 유림공원,11,2,7
27,Forest Adventure,11,4,18
6,봉명교 → 죽동,2,2,12
4,유림공원 → 갑천근린공원,14,3,15
31,Mountain Hiking Trail,14,3,15
4,유림공원 → 갑천근린공원,2,3,15
29,Mountain Hiking Trail,1,3,15
6,봉명교 → 죽동,14,2,12
27,Forest Adventure,5,4,18
30,Mountain Hiking Trail,8,3,15
28,Desert Trek,10,5,25
30,Mountain Hiking Trail,1,3,15
28,Desert Trek,14,5,25
31,Mountain Hiking Trail,9,3,15
27,Forest Adventure,5,4,18
30,Mountain Hiking Trail,13,3,15
3,한밭대 뺑뺑이 x5,7,1,8
1,SSAFY 퇴근길 코스,6,2,10
5,현충원역 → 유림공원,14,2,7
24,Beach Walk,8,1,3
1,SSAFY 퇴근길 코스,10,2,10
23,Mountain Hiking Trail,11,5,20
30,Mountain Hiking Trail,7,3,15
24,Beach Walk,4,1,3
24,Beach Walk,10,1,3
23,Mountain Hiking Trail,14,5,20
23,Mountain Hiking Trail,14,5,20
31,Mountain Hiking Trail,6,3,15
1,SSAFY 퇴근길 코스,10,2,10
5,현충원역 → 유림공원,14,2,7
5,현충원역 → 유림공원,13,2,7
31,Mountain Hiking Trail,14,3,15
23,Mountain Hiking Trail,1,5,20
24,Beach Walk,10,1,3
27,Forest Adventure,2,4,18
3,한밭대 뺑뺑이 x5,13,1,8
5,현충원역 → 유림공원,1,2,7
27,Forest Adventure,14,4,18
29,Mountain Hiking Trail,8,3,15
3,한밭대 뺑뺑이 x5,14,1,8
6,봉명교 → 죽동,8,2,12
28,Desert Trek,1,5,25
28,Desert Trek,1,5,25
23,Mountain Hiking Trail,7,5,20
29,Mountain Hiking Trail,13,3,15
28,Desert Trek,4,5,25
24,Beach Walk,2,1,3
24,Beach Walk,7,1,3
30,Mountain Hiking Trail,5,3,15
5,현충원역 → 유림공원,7,2,7
31,Mountain Hiking Trail,11,3,15
30,Mountain Hiking Trail,11,3,15
30,Mountain Hiking Trail,9,3,15
31,Mountain Hiking Trail,1,3,15
24,Beach Walk,5,1,3
29,Mountain Hiking Trail,4,3,15
4,유림공원 → 갑천근린공원,4,3,15
6,봉명교 → 죽동,14,2,12
28,Desert Trek,8,5,25
6,봉명교 → 죽동,5,2,12
6,봉명교 → 죽동,10,2,12
1,SSAFY 퇴근길 코스,6,2,10
23,Mountain Hiking Trail,9,5,20
29,Mountain Hiking Trail,2,3,15
24,Beach Walk,4,1,3
28,Desert Trek,13,5,25
5,현충원역 → 유림공원,4,2,7
5,현충원역 → 유림공원,5,2,7
23,Mountain Hiking Trail,5,5,20
4,유림공원 → 갑천근린공원,6,3,15
3,한밭대 뺑뺑이 x5,8,1,8
4,유림공원 → 갑천근린공원,2,3,15
23,Mountain Hiking Trail,8,5,20
30,Mountain Hiking Trail,2,3,15
4,유림공원 → 갑천근린공원,6,3,15
28,Desert Trek,9,5,25
2,궁동 → 어은동 러닝코스,6,1,5
3,한밭대 뺑뺑이 x5,6,1,8
23,Mountain Hiking Trail,10,5,20
23,Mountain Hiking Trail,13,5,20
23,Mountain Hiking Trail,14,5,20
